m,y,d,t
Jul.,13,25,72.8F
Jan.,99,17,42.4F
Dec.,01,16,30.6F
Mar.,96,19,38.7F
Mar.,20,29,39.9F
Nov.,11,25,43.5F
Jul.,00,16,56.4F
Aug.,06,18,65F
Oct.,19,15,-181.3F
Dec.,00,9,50.5F
Aug.,17,14,66.7F
Oct.,12,10,46.1F
Dec.,98,9,37.3F
Mar.,02,29,47.7F
Sep.,17,18,52.6F
Nov.,14,14,48.3F
Aug.,99,8,64.5F
Apr.,20,28,53.2F
Dec.,03,24,38.6F
Oct.,01,25,56.6F
Mar.,96,14,34.2F
Oct.,06,13,55.1F
Jul.,11,10,61.7F
Jul.,96,10,59.3F
Jun.,08,26,62.5F
Aug.,12,23,62.6F
Aug.,13,25,186.6F
Sep.,98,9,63.5F
Jun.,03,5,64.8F
Dec.,03,10,31.6F
Jan.,13,3,48.9F
Sep.,14,16,62.8F
Apr.,20,19,51.3F
Mar.,08,18,38.9F
Jan.,10,17,41.7F
Jan.,05,23,36.8F
Jul.,12,28,-153.8F
Dec.,10,4,28F
Apr.,10,11,181.6F
Mar.,05,12,38.4F
Sep.,07,20,58.4F
Feb.,95,14,46.9F
May,17,22,63.9F
Oct.,97,8,60F
Oct.,99,24,54.5F
Sep.,10,30,54.9F
Oct.,10,25,41.6F
Mar.,09,27,177.6F
Sep.,15,9,58.2F
Feb.,19,10,45.1F
May,03,31,70.1F
Dec.,95,10,30.2F
Dec.,09,9,46.1F
Apr.,12,24,47.5F
Aug.,12,21,70.2F
Feb.,07,12,46.9F
Jan.,07,28,NA
Apr.,18,24,54.3F
Feb.,99,19,48.6F
Mar.,13,17,42.2F
Jun.,99,22,53.7F
Aug.,06,22,-163.4F
Nov.,05,17,40.8F
Jan.,14,23,39.5F
Jan.,10,18,39.9F
Jan.,00,10,34.5F
Feb.,02,19,44F
May,03,24,55.7F
Sep.,18,1,57.5F
Oct.,10,10,53.2F
Apr.,98,18,45F
Dec.,16,4,31.1F
Sep.,08,14,50.8F
Dec.,99,11,47.3F
Feb.,01,16,38.8F
Dec.,11,22,48.9F
Sep.,11,20,58.9F
Jun.,10,10,65.1F
Jan.,13,8,43.3F
May,02,14,56.5F
May,97,17,70.7F
Sep.,03,16,62.5F
Nov.,09,14,-182.7F
Apr.,04,20,48.6F
Aug.,09,28,63.2F
Feb.,13,9,31.8F
Dec.,06,6,48.6F
Oct.,14,31,58.5F
Mar.,06,5,34.3F
Oct.,17,5,54.3F
Jan.,06,13,35.8F
Aug.,04,13,63.3F
Oct.,18,6,61.5F
Dec.,99,7,47.4F
Mar.,99,19,43.3F
Oct.,05,13,60.3F
Jul.,09,23,63F
Mar.,05,6,30.5F
May,00,30,50.3F
Feb.,08,25,48.3F
Sep.,09,7,63.9F
Jul.,05,29,70.5F
Sep.,00,16,58F
Jul.,99,30,72.8F
Oct.,11,12,59F
May,09,6,176.5F
Apr.,07,21,-178.4F
Oct.,07,18,48.6F
Aug.,13,1,77.1F
Aug.,11,9,57.7F
Sep.,03,9,57.9F
Feb.,17,23,48.5F
May,08,28,65.5F
Apr.,16,25,40.4F
Dec.,06,2,50.3F
Feb.,04,4,58.4F
Aug.,03,6,79.2F
Jul.,00,11,54.4F
Sep.,07,11,NA
Nov.,99,22,36.6F
Oct.,05,4,51.7F
Jul.,18,20,67.6F
May,09,22,56.7F
Oct.,09,28,51.7F
Jul.,17,18,70.2F
Jan.,97,31,37.9F
Apr.,99,16,40.7F
Sep.,13,6,68F
Aug.,07,3,63.9F
Mar.,02,17,52.2F
Dec.,10,5,NA
Jul.,95,4,60.4F
Aug.,10,1,66.3F
Apr.,08,28,53.2F
Apr.,12,29,55.7F
Jun.,16,27,59.6F
Oct.,03,16,44.6F
May,02,9,59.1F
Jul.,14,2,60.5F
Jun.,04,5,59.5F
Dec.,12,29,51.3F
Oct.,10,27,48.2F
Feb.,09,1,29.4F
May,97,4,60.2F
Jan.,04,20,43.9F
May,95,30,58.9F
Oct.,99,18,42F
May,06,25,52.9F
Feb.,01,28,39.7F
Oct.,15,4,53.9F
Jul.,14,23,72.2F
Dec.,14,11,43.7F
Mar.,96,13,29.4F
Jun.,03,9,62F
Oct.,08,3,45.4F
Jul.,02,10,58.3F
Aug.,12,2,65.5F
Oct.,05,7,54.6F
Jan.,12,9,46.6F
Oct.,09,21,55F
Aug.,95,6,NA
Oct.,06,17,54.5F
Feb.,07,9,39.7F
Feb.,00,16,39.3F
Oct.,09,3,54.5F
Jun.,03,24,-172F
May,06,8,59.4F
Feb.,98,22,44.7F
Jul.,05,15,73.5F
Jul.,96,22,73F
Jan.,18,30,41.6F
Oct.,18,16,61.8F
Sep.,05,28,56.2F
Sep.,00,24,60.9F
May,01,30,63.8F
Dec.,12,2,35.5F
Jun.,19,4,65.3F
Nov.,98,22,25.4F
May,16,24,51.9F
Nov.,17,20,42.8F
Mar.,15,2,42.1F
Sep.,97,16,60.4F
Apr.,00,7,NA
Oct.,06,14,NA
Sep.,95,8,61.3F
Jul.,05,17,66.6F
May,14,13,49.7F
Oct.,01,29,52.7F
Mar.,11,26,45.8F
Jul.,15,28,59F
Jan.,13,27,40F
Jan.,19,21,28.2F
Sep.,05,23,NA
Sep.,02,19,58.4F
Oct.,07,2,55.3F
Nov.,10,15,44.2F
Dec.,16,25,48.5F
Jun.,97,21,58.2F
May,11,16,55.1F
Oct.,14,25,177.5F
Aug.,95,22,72.6F
Feb.,11,21,33.5F
Jul.,12,9,61.4F
Apr.,00,14,46.4F
Nov.,19,5,NA
Feb.,03,5,35.7F
Mar.,12,4,46.6F
Sep.,09,23,60.3F
Oct.,10,17,41.7F
Dec.,98,21,35.7F
Jan.,13,10,39.8F
Jul.,97,26,-155.9F
Feb.,09,10,41.8F
Jan.,04,18,35.9F
Dec.,13,10,39.1F
Aug.,18,12,70.4F
Jan.,96,11,47.3F
Dec.,18,13,31.5F
Jun.,10,1,54.6F
Jan.,97,26,32.3F
May,06,16,60.4F
Feb.,99,9,30.6F
Apr.,00,15,48.1F
Jul.,07,9,57.3F
Jul.,96,12,64.9F
Jun.,00,3,NA
Aug.,19,24,71.6F
Mar.,03,1,49.4F
Jan.,00,1,44.1F
Jun.,19,13,57.1F
Feb.,95,24,40F
Jul.,04,20,63.5F
Jun.,09,24,64.5F
Dec.,19,16,45.2F
Aug.,10,15,NA
Dec.,14,13,39.2F
Nov.,09,13,NA
Apr.,15,24,57.2F
Oct.,15,13,38.6F
Jun.,12,10,57.6F
Apr.,98,19,47.7F
Aug.,99,12,197.2F
Feb.,13,2,38.5F
Apr.,02,23,57.9F
Mar.,95,29,37.7F
Jul.,15,23,64.7F
May,07,17,54.3F
Jul.,07,3,59.2F
Sep.,98,6,62.5F
Sep.,11,7,58.8F
Dec.,10,13,28.3F
Nov.,01,8,45.1F
Apr.,08,19,47.8F
Nov.,13,22,37.8F
Mar.,10,10,33.8F
Jan.,03,31,27F
Dec.,12,14,42.9F
Mar.,13,3,37.7F
Jul.,08,26,68.3F
Nov.,11,13,41.8F
Jan.,05,8,49F
Oct.,01,24,53.8F
Aug.,10,5,58.5F
Sep.,11,14,57.5F
Sep.,00,14,63F
Mar.,19,8,46.3F
Apr.,98,20,151F
Jul.,99,27,63.8F
Sep.,06,1,64.2F
Jan.,00,6,NA
Jan.,95,24,42.9F
Jun.,05,14,59.4F
Jan.,07,21,43.7F
Jun.,00,15,61.8F
Apr.,00,18,51.5F
Mar.,07,6,47.9F
Aug.,98,24,58.7F
May,13,12,48.6F
Apr.,20,4,50F
Jul.,19,13,62.4F
Mar.,19,7,47.6F
Apr.,11,25,61.8F
Nov.,13,4,48.7F
Feb.,05,12,192.6F
Dec.,14,17,46.1F
Jun.,11,18,57.4F
Jan.,01,24,48.6F
Sep.,01,15,54.9F
Apr.,01,28,52.6F
Jan.,03,15,41.9F
Jun.,97,28,58.5F
Aug.,17,22,NA
Sep.,03,10,57F
Oct.,10,9,56.7F
Jun.,08,22,68.5F
Oct.,07,25,45.6F
Oct.,01,31,54.9F
Jul.,12,30,58.2F
Oct.,12,15,49.7F
Apr.,02,29,49.7F
Feb.,13,27,32.8F
Apr.,11,27,52.2F
Oct.,13,31,49.4F
Feb.,99,2,42.5F
Oct.,96,7,NA
Oct.,97,22,39.3F
Aug.,13,29,62.5F
Jun.,14,3,57.9F
Apr.,00,27,57.3F
Oct.,07,5,52.5F
Nov.,96,5,50.2F
Apr.,14,7,60.8F
Feb.,97,14,39.7F
May,10,24,66.3F
Aug.,96,17,183.4F
Feb.,19,6,41.5F
Jun.,11,26,66.6F
Apr.,14,14,48.2F
Apr.,07,5,45.6F
Dec.,08,14,37.1F
Mar.,05,29,51.8F
Aug.,13,7,-165.8F
Jan.,04,14,42.1F
Jun.,01,2,52.1F
Nov.,00,4,44F
Jul.,06,13,151.4F
Jun.,97,18,57.2F
Nov.,95,6,33.4F
Sep.,00,5,57.6F
Feb.,05,1,41.2F
Sep.,95,12,58.8F
Feb.,00,29,44.2F
Oct.,95,16,-163.2F
Aug.,16,6,61.7F
Oct.,96,8,49.8F
Dec.,99,22,33.6F
Dec.,13,3,35.7F
Feb.,05,15,34.8F
Apr.,08,7,38.4F
Jan.,00,24,27.8F
Jan.,07,24,29.6F
Jun.,01,25,-168.1F
Oct.,96,6,48.6F
May,05,10,45.4F
May,01,27,NA
Feb.,20,27,35.7F
Feb.,13,21,28.8F
Jan.,04,2,27.5F
Jan.,13,15,28.7F
Dec.,02,18,31.5F
Dec.,06,31,50F
Sep.,14,15,61.1F
Apr.,03,2,NA
Jan.,98,1,42.8F
Mar.,00,14,47.7F
Mar.,07,20,166.8F
Oct.,09,29,54.4F
Jun.,08,13,53.4F
Dec.,09,16,26.5F
Mar.,11,13,49.9F
Dec.,03,16,40.7F
Mar.,02,12,49.2F
Oct.,08,13,62.4F
Nov.,00,28,54.8F
Dec.,05,17,34.6F
Oct.,95,5,57.7F
Nov.,13,25,41.2F
Feb.,98,21,50.9F
Feb.,97,15,37.9F
Mar.,13,10,34.2F
Mar.,04,22,160.8F
Nov.,95,10,48.1F
Dec.,16,15,42.1F
Oct.,05,24,55.8F
Dec.,02,30,52.7F
Jul.,11,5,67F
Apr.,12,2,45.2F
Nov.,12,1,46.6F
Feb.,15,14,44.6F
Aug.,06,20,-176F
Feb.,01,18,37.6F
Apr.,19,5,45.7F
Jul.,07,31,58.1F
Jan.,14,29,37.9F
Oct.,07,22,43.3F
Sep.,07,14,58.7F
Aug.,14,6,NA
Feb.,96,17,42.6F
May,09,14,60.3F
Mar.,18,7,41.6F
Apr.,06,23,50.2F
Jun.,12,28,73.8F
Feb.,95,3,-172.2F
Nov.,00,10,NA
Feb.,14,14,42.4F
Mar.,16,20,42.9F
Aug.,95,24,67.5F
May,03,23,57.5F
Oct.,05,3,52.3F
Nov.,03,29,38.8F
Nov.,01,14,39.3F
Feb.,16,17,31.8F
Apr.,97,6,44.2F
Sep.,99,26,60.3F
Jun.,09,27,68F
Mar.,05,24,55.2F
Feb.,05,20,35.5F
Sep.,99,28,60.4F
Oct.,97,15,45.3F
Mar.,19,16,50.6F
Aug.,00,6,64.2F
Aug.,14,7,66.7F
Sep.,99,19,62.4F
Jun.,18,3,65.9F
Nov.,16,24,47F
Mar.,03,8,NA
Jul.,06,18,78F
Oct.,19,22,188.4F
Sep.,17,20,55.3F
Nov.,09,10,44.7F
Jan.,06,8,34F
Nov.,11,9,188.9F
Nov.,19,3,NA
Sep.,12,15,186.2F
Jun.,11,11,53.3F
Oct.,12,12,54F
Jan.,12,17,33F
Nov.,13,23,40.3F
Aug.,16,23,70.6F
Sep.,98,18,NA
Jun.,07,19,69.6F
Dec.,13,15,45.4F
Sep.,11,15,57.4F
May,06,2,55F
Aug.,04,16,67.1F
Dec.,18,11,38.7F
Oct.,95,21,45.8F
Aug.,96,3,60.6F
Aug.,09,10,66.9F
Nov.,00,19,48.1F
Jul.,16,13,56.9F
Dec.,14,9,39F
Sep.,97,6,60.1F
Mar.,98,18,48.7F
Jan.,06,5,32.5F
Dec.,15,13,46.8F
Oct.,16,4,52.3F
Apr.,02,28,50.7F
Apr.,98,21,51.9F
Mar.,00,1,41.6F
Feb.,17,26,47.5F
Jan.,09,7,22.3F
Aug.,12,31,56.4F
Feb.,20,12,40.7F
May,10,17,52.3F
Nov.,95,15,49.9F
May,14,23,60.5F
May,08,27,63.1F
Apr.,08,11,-180.7F
Jun.,97,2,-161.3F
Oct.,95,23,52.4F
Nov.,14,21,39.4F
Dec.,95,5,27.2F
Mar.,98,31,56.2F
Nov.,10,20,42.8F
May,03,25,55.1F
Jul.,09,15,68F
May,00,13,65.4F
Oct.,99,30,59.2F
Jan.,18,31,45.6F
Jun.,12,14,55.5F
Jul.,07,25,64.7F
Dec.,07,23,34.9F
Aug.,02,31,62.3F
Apr.,10,27,-163.8F
May,05,8,46.4F
Apr.,96,20,63.6F
Oct.,12,3,55.5F
Feb.,12,13,34.2F
Jul.,95,14,189.7F
Mar.,05,5,33.6F
Mar.,98,24,37.3F
Feb.,12,15,157.7F
Nov.,10,25,35.5F
Jul.,19,19,NA
May,14,20,NA
May,95,8,NA
May,03,21,55F
Jul.,09,4,68.8F
Jul.,97,24,66.3F
May,99,9,60.2F
Aug.,14,2,70.5F
Oct.,18,21,49.3F
May,17,14,57.8F
Aug.,01,11,60.2F
Dec.,00,26,29.3F
Apr.,06,30,42.4F
Mar.,06,22,192.1F
Jun.,16,15,57.1F
Feb.,97,20,NA
Dec.,07,17,28.9F
Aug.,11,16,63.9F
Apr.,06,16,52.1F
Aug.,15,11,67.7F
Sep.,17,9,56.2F
Oct.,13,1,52.5F
Oct.,09,30,48.7F
Aug.,15,12,71.6F
Jun.,14,10,66.9F
May,13,11,-154.5F
Mar.,06,17,34.4F
Feb.,99,20,45F
May,12,24,68.5F
Jun.,95,30,73.3F
Dec.,11,13,45.5F
Feb.,09,9,38F
Oct.,10,24,43.7F
Apr.,17,30,55.3F
May,17,23,186.7F
Aug.,05,12,62.4F
Jun.,17,3,65.6F
Jan.,13,21,NA
Jan.,15,28,40.8F
May,15,30,52.2F
Apr.,08,13,47.5F
Jan.,06,22,-192.3F
Aug.,97,20,68.6F
Jul.,02,30,74.4F
Mar.,95,19,NA
Nov.,01,21,46.2F
Jan.,96,5,33.1F
Sep.,10,17,52.5F
Jun.,01,27,68.8F
Nov.,03,1,48F
Apr.,14,29,55.5F
Nov.,14,15,48.3F
Mar.,95,1,48.2F
Apr.,12,13,43.8F
Jul.,13,22,77.2F
Jan.,14,12,36.9F
Aug.,19,22,64.7F
Feb.,98,5,37.7F
Oct.,17,19,61F
Sep.,15,2,NA
Feb.,97,6,40.5F
Oct.,19,13,65.1F
Jan.,07,8,49.5F
Jan.,97,29,34.4F
Nov.,12,16,39.1F
Dec.,01,31,30.1F
Apr.,08,16,41F
Jul.,97,5,58.8F
May,03,15,48.4F
Apr.,95,14,46.7F
Nov.,19,28,48.9F
Jan.,00,4,46.5F
Oct.,16,22,46.3F
Oct.,05,22,54.9F
Feb.,04,7,46.9F
Aug.,19,18,62.1F
May,18,31,69.5F
Sep.,18,23,51.3F
Jun.,15,27,65F
Oct.,04,20,NA
Nov.,09,12,46.8F
Apr.,18,27,53.5F
Mar.,06,25,187.2F
May,03,7,54.9F
May,12,18,56.1F
Oct.,10,20,NA
Aug.,02,29,65.8F
Feb.,00,1,47.7F
Jun.,15,19,56.3F
Sep.,09,16,60F
Nov.,05,7,51.9F
Dec.,99,30,36.7F
Sep.,18,18,70.7F
Mar.,16,4,37.7F
Dec.,12,23,52.3F
Apr.,08,30,51F
Nov.,19,9,42.3F
Dec.,05,7,42.6F
Jul.,17,1,59.5F
Nov.,98,10,49.7F
Feb.,07,16,48.7F
Aug.,99,14,61.2F
Mar.,04,13,48.4F
Sep.,09,5,57.8F
Jul.,11,17,59.8F
Jul.,15,19,63.8F
Apr.,06,15,193.3F
Jul.,02,28,76.2F
Aug.,08,30,66.1F
Aug.,16,29,64.8F
Nov.,09,11,43.3F
Dec.,96,11,30.5F
Sep.,02,26,54.8F
May,08,26,-161.9F
Jul.,00,31,65.6F
Jun.,19,6,NA
Jan.,04,1,31.6F
Sep.,19,12,66.9F
Oct.,18,22,52.8F
Jul.,04,10,56.6F
Apr.,98,5,49.2F
Sep.,16,30,58.6F
Jun.,02,9,-188.9F
Mar.,99,12,159.2F
Jun.,17,21,75.2F
Apr.,12,19,NA
Jan.,11,5,32.7F
Feb.,00,18,42.6F
Jul.,16,2,59F
Dec.,15,17,57.1F
Oct.,14,18,64.1F
Jan.,07,11,45.8F
Mar.,19,2,47F
Jan.,07,30,45.6F
Jan.,99,13,37.5F
Sep.,97,25,55.7F
Feb.,14,28,41.2F
Sep.,15,30,51.7F
Dec.,11,26,48.6F
Jul.,07,26,65.8F
Jul.,95,7,66.2F
Nov.,03,13,47.9F
Sep.,06,20,59.2F
Jun.,05,16,65.7F
Jul.,10,13,70.8F
Jul.,07,29,59.3F
Dec.,08,19,44.2F
Jun.,95,17,55.6F
Mar.,99,23,46.8F
Aug.,99,5,71.2F
Oct.,17,6,51.3F
Nov.,06,1,44.2F
Mar.,99,11,39.1F
Sep.,13,14,-166.6F
Mar.,18,2,27.4F
Jul.,98,29,60.3F
Dec.,99,24,45.8F
Jul.,12,22,59.5F
Apr.,05,17,46.6F
Feb.,97,8,44.7F
May,02,24,53.2F
Sep.,99,7,64.7F
Jul.,10,5,NA
Aug.,95,1,78.5F
May,03,17,58.4F
Dec.,16,29,29.2F
Jun.,05,18,72.5F
Jul.,10,3,69.9F
May,17,12,60.5F
Aug.,05,27,60.4F
Aug.,11,10,61.9F
May,19,7,48.2F
Apr.,02,2,-152.7F
Feb.,98,15,52.3F
Oct.,02,1,57.8F
Oct.,02,2,60.8F
Nov.,01,9,188.9F
Jan.,13,2,NA
May,11,11,60.2F
Mar.,02,4,-161.9F
Feb.,16,19,38.3F
Apr.,07,22,55.2F
Jun.,17,27,61.4F
Oct.,97,2,58.3F
Dec.,16,14,45.6F
Sep.,07,10,57.6F
Oct.,18,13,66.9F
Sep.,07,15,57.6F
Nov.,95,22,45.9F
Oct.,01,6,-165.4F
Feb.,04,6,54.2F
Jul.,05,25,65.6F
Oct.,06,4,53.6F
Jan.,00,15,35.6F
Jun.,96,8,72.8F
Feb.,11,25,46.2F
Jan.,05,28,34.6F
May,16,31,60.7F
Aug.,99,27,172.8F
Jun.,00,5,53.8F
Sep.,01,19,154.4F
Dec.,17,26,42.1F
Apr.,15,13,49.4F
Jun.,01,30,68.6F
Jun.,02,23,63.3F
Nov.,09,3,46.1F
Jan.,16,15,35.2F
Jan.,02,16,40.5F
Jul.,16,26,65.9F
May,07,28,54.6F
Aug.,95,20,72.6F
Dec.,95,29,22.1F
Jun.,00,12,61F
Aug.,00,22,60.9F
Jan.,97,5,24.1F
Mar.,04,24,171.1F
Apr.,10,8,47.3F
Dec.,10,28,32.8F
Oct.,04,8,51.9F
Oct.,17,31,47.9F
Mar.,09,7,41.2F
Feb.,17,25,41.6F
Dec.,08,18,39.6F
Sep.,18,22,182.6F
Oct.,10,7,59.8F
Jun.,00,22,62F
Nov.,09,28,47.4F
Mar.,04,11,-181.9F
Oct.,14,26,54.7F
May,15,3,56.4F
Jan.,18,23,47.4F
Feb.,11,3,NA
May,16,23,53F
Nov.,02,8,44.1F
Apr.,96,1,34.9F
Mar.,00,2,40.8F
Sep.,02,5,62.5F
May,10,31,53.1F
Oct.,99,19,41.2F
Jul.,03,17,66.5F
Oct.,04,2,57.1F
Jan.,16,5,44F
Jul.,16,15,61.2F
Aug.,09,20,77F
Jul.,99,13,67.2F
Dec.,05,31,42.2F
Jun.,03,2,68.6F
Sep.,02,3,60.2F
Jun.,05,13,56.7F
Jul.,10,26,63F
Jan.,20,21,30.8F
Oct.,13,5,58.8F
Jul.,19,22,70.8F
Jul.,02,20,63.4F
Aug.,96,16,61.8F
Oct.,15,28,54.9F
Mar.,96,30,36.3F
Sep.,09,24,59.4F
Feb.,10,18,38.9F
Oct.,98,13,50.5F
May,95,9,NA
Nov.,19,11,42F
Jan.,14,31,39.6F
Jul.,00,20,64.1F
Nov.,03,28,39.3F
Jul.,18,10,59.3F
Aug.,13,21,NA
Jun.,19,21,59F
Jun.,15,1,54F
Jan.,98,23,NA
Feb.,14,7,188F
Mar.,98,1,39F
Mar.,95,23,45.9F
Dec.,04,9,NA
Dec.,14,21,43.2F
Jul.,99,16,63.8F
Jan.,17,22,29.5F
Jun.,00,10,61.7F
Dec.,17,8,37.1F
Sep.,95,23,57.5F
May,13,26,49.7F
Apr.,15,5,40.8F
Sep.,16,12,74.1F
Oct.,13,14,49.9F
Feb.,04,26,31.7F
Oct.,19,20,50.8F
Oct.,09,16,49.3F
Oct.,01,8,58.3F
Mar.,01,20,185.8F
Sep.,15,15,55.7F
Sep.,07,6,61.5F
Feb.,07,7,30.8F
Aug.,99,20,59.2F
May,05,7,48.5F
Oct.,15,24,52.2F
Aug.,07,6,69.2F
May,05,6,52.4F
Jan.,97,6,22.9F
Nov.,09,2,NA
May,10,9,47.9F
Jan.,18,16,43.3F
Oct.,98,24,52.2F
May,01,19,55.1F
Apr.,03,26,55.9F
Aug.,08,5,65.2F
Mar.,14,8,52F
Apr.,18,21,62.1F
Aug.,17,11,62.4F
Jun.,06,15,56.4F
Apr.,18,1,150.4F
Nov.,00,3,47.3F
Dec.,17,4,41.5F
Jan.,09,11,29.8F
Nov.,01,1,47.9F
Aug.,95,7,65F
Mar.,12,3,49.8F
May,10,18,NA
Jan.,99,24,43.3F
Nov.,04,23,48.6F
Oct.,18,17,181.3F
Aug.,09,19,73.6F
Mar.,17,12,48.7F
Sep.,07,19,52.7F
Sep.,96,9,55.7F
Jan.,11,10,35.1F
Mar.,20,25,40.6F
Jul.,03,1,61.6F
Apr.,17,3,47.1F
Nov.,00,2,47.2F
Aug.,11,31,56F
Apr.,20,6,59.3F
Jan.,98,6,42.2F
Jan.,00,2,45.6F
Aug.,17,16,64.5F
Jan.,98,29,35.9F
Mar.,16,2,187.2F
Jan.,03,12,29.1F
Apr.,10,20,47.4F
Jul.,18,18,66.5F
Nov.,96,29,38.8F
Feb.,98,23,44.3F
Sep.,10,18,51.2F
Jun.,01,20,63.4F
Dec.,04,15,40.1F
Jul.,95,17,64.2F
Feb.,12,22,41.5F
Feb.,05,14,38.2F
Aug.,03,23,68.3F
Oct.,12,28,38.8F
Jan.,20,26,42.9F
Jul.,96,4,61.7F
Dec.,01,22,34.2F
Apr.,19,3,42.9F
Aug.,05,30,69.8F
Aug.,16,5,61.8F
Apr.,19,12,39.3F
Feb.,13,5,38.7F
Jul.,05,3,70F
May,96,26,53.9F
Aug.,03,26,NA
Jul.,98,26,63.6F
Jun.,16,2,57.4F
Feb.,17,17,44.6F
Feb.,97,16,39F
Aug.,09,29,59.9F
Jan.,17,13,35.5F
Jul.,00,7,56.4F
Jul.,16,5,61.5F
May,12,31,61.2F
Jul.,05,19,65.4F
Apr.,96,19,58.6F
Jun.,99,6,54.4F
Dec.,05,19,38.5F
Jun.,98,17,57.1F
Sep.,18,14,56.5F
Jan.,18,13,NA
Sep.,01,24,55.1F
May,96,17,50.2F
Nov.,06,29,46.7F
Sep.,97,13,55.1F
Feb.,99,12,NA
Jul.,09,19,61.6F
Apr.,10,3,45.7F
Jul.,95,18,66.2F
Aug.,03,18,65.7F
Oct.,10,8,57.9F
Sep.,16,25,61.6F
Mar.,97,16,51F
Jul.,13,16,-155.7F
Mar.,12,24,-161.5F
Nov.,11,27,47.5F
Apr.,17,17,45.7F
Mar.,05,16,59.8F
Jan.,13,22,28.6F
May,97,14,NA
Jul.,17,3,-150.1F
Apr.,17,7,NA
Sep.,16,19,61.5F
Apr.,11,7,59.1F
Mar.,04,28,42.2F
Jan.,20,11,40.4F
May,02,18,60.9F
Mar.,14,27,NA
Jun.,09,25,68.8F
Aug.,12,29,64.7F
Oct.,02,6,53.3F
Jan.,02,9,34.9F
Jan.,05,24,33F
May,03,20,54F
Mar.,98,16,-176.1F
Feb.,08,12,42.8F
Sep.,00,18,60.4F
Dec.,15,20,53.3F
May,20,13,39.7F
May,02,17,66.6F
Dec.,07,6,182.7F
Aug.,19,29,66.1F
Feb.,99,5,42.2F
Jul.,08,11,61.2F
Jun.,96,22,52.6F
Oct.,07,24,41F
Oct.,02,24,48F
Feb.,05,26,33.6F
Oct.,08,8,55.9F
Dec.,96,12,32.9F
Sep.,13,10,178.3F
Mar.,15,12,43.1F
Apr.,04,13,47.9F
Feb.,01,26,193F
Mar.,14,19,52.4F
Feb.,00,15,45.6F
Feb.,04,23,34.4F
Nov.,95,5,32F
Dec.,14,2,34.2F
Nov.,00,30,51.4F
Apr.,04,14,49.9F
Oct.,00,26,51.8F
Mar.,19,1,44.4F
Aug.,12,17,73.2F
Feb.,13,25,172.6F
Dec.,06,1,47.6F
Oct.,08,31,40.2F
Apr.,95,23,51.5F
Jan.,01,18,29.1F
Sep.,11,26,65.8F
Nov.,12,13,46.4F
Mar.,07,31,51F
Mar.,05,21,53.3F
Apr.,05,26,54.2F
Mar.,99,21,43.3F
Dec.,11,11,39.1F
Mar.,03,19,151.2F
Mar.,12,13,45.7F
May,96,15,NA
May,01,31,59.2F
Dec.,06,29,40.9F
Jul.,17,23,60.1F
Jul.,01,10,64.5F
Aug.,03,30,59.8F
Apr.,98,11,43.9F
Jun.,00,24,54.8F
May,09,31,62.8F
Jun.,09,18,64.6F
Jun.,18,21,58.5F
Oct.,02,5,54.4F
Mar.,00,23,50.6F
Nov.,09,22,NA
Jul.,13,12,57.8F
Mar.,07,13,48.1F
Oct.,10,14,45.6F
Jun.,17,11,71F
Feb.,02,26,51.8F
Jan.,08,12,42.9F
May,09,18,55.9F
Jul.,96,9,59.3F
Aug.,07,23,62.2F
Jul.,13,19,69.9F
Oct.,01,7,60.2F
Jun.,97,12,63.1F
Nov.,09,17,51.1F
Dec.,96,28,16.5F
Nov.,08,3,46.2F
Aug.,16,4,62.6F
Mar.,06,9,47.5F
Dec.,95,21,32.3F
Nov.,13,12,45.3F
Jun.,99,21,52.5F
Nov.,07,29,41.7F
Jan.,07,16,45.9F
Nov.,00,11,-160.5F
Nov.,09,16,NA
Oct.,12,8,47.6F
Mar.,03,11,51.9F
Aug.,03,7,78.5F
Mar.,00,13,-178.1F
Jun.,16,19,58F
Mar.,95,2,39.1F
Nov.,06,12,47.3F
Jun.,18,30,70.7F
Dec.,06,24,34.1F
Feb.,09,19,35.7F
May,18,25,66.9F
Jul.,03,22,69.8F
Feb.,09,22,43.4F
Aug.,16,21,60.2F
Apr.,05,25,53.6F
Jul.,97,7,63.2F
Jul.,12,11,59.7F
Jul.,07,24,61.1F
Jul.,09,13,64.2F
Mar.,04,27,38.7F
May,20,1,51.1F
Jul.,99,28,66.4F
Feb.,03,6,35.8F
Feb.,01,12,51.9F
Oct.,14,19,63.6F
Sep.,01,9,50.7F
Dec.,10,22,31.4F
Jan.,13,31,46F
Dec.,19,19,53.5F
Sep.,03,11,58.8F
Apr.,03,13,NA
Nov.,00,25,46.5F
May,10,6,47.5F
Jul.,12,26,NA
Nov.,00,29,55.1F
Nov.,03,5,48.7F
Dec.,98,10,38.7F
Jun.,02,4,65.1F
Apr.,14,26,54.3F
Jun.,19,17,-178.4F
Dec.,11,21,41.4F
Dec.,95,24,33.9F
Nov.,06,7,44.4F
Jul.,19,25,85.4F
Oct.,15,8,53.3F
Nov.,99,19,35.9F
Jul.,06,1,73F
Jul.,96,14,66.7F
May,95,2,59.2F
May,17,9,47.2F
Jan.,10,31,32.7F
Aug.,16,2,61.5F
Dec.,98,27,50F
Mar.,12,19,43.5F
Dec.,01,28,44.1F
Mar.,14,6,45F
Oct.,01,22,55.3F
Apr.,07,2,-170F
